2026-06-18 00:20:54 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:20:54 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:20:54 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:20:54 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:20:56 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:21:05 | INFO     | SessionManager | New session started: 2026-06-18 00:21:05
2026-06-18 00:21:05 | INFO     | Evaluator | RAG Evaluator initialized
2026-06-18 00:21:07 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:21:09 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:21:09 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:21:09 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:21:09 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:21:11 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:21:19 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:21:21 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:21:22 | INFO     | Pipeline | 📄 Indexing file: README.md
2026-06-18 00:21:22 | INFO     | Loader | Loading uploaded file: README.md
2026-06-18 00:21:22 | INFO     | Loader | Loading text file from bytes: README.md
2026-06-18 00:21:22 | INFO     | Chunker | Split 1 documents into 9 chunks
2026-06-18 00:21:22 | INFO     | Pipeline | Creating embeddings for 9 chunks...
2026-06-18 00:21:22 | INFO     | Embeddings | Embedding 9 texts in batches of 10...
2026-06-18 00:21:43 | INFO     | Embeddings | Embedded 9/9 texts
2026-06-18 00:21:43 | INFO     | Embeddings | Batch embedding complete: 9 vectors
2026-06-18 00:21:43 | INFO     | VectorStore | Stored 9/9 chunks
2026-06-18 00:21:43 | INFO     | VectorStore | ✅ Total stored: 9 chunks
2026-06-18 00:21:43 | INFO     | Pipeline | ✅ Indexed README.md: 9 chunks stored
2026-06-18 00:21:43 | INFO     | SessionManager | File tracked: README.md (9 chunks)
2026-06-18 00:21:43 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:21:43 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:21:43 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:21:45 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:22:25 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:22:27 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:22:27 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:22:27 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:22:27 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:22:27 | INFO     | Pipeline | ❓ Question: what are your views on my RAG project README...
2026-06-18 00:22:27 | INFO     | Retriever | Retrieving for: 'what are your views on my RAG project README...'
2026-06-18 00:22:30 | INFO     | VectorStore | Found 5 relevant chunks
2026-06-18 00:22:30 | INFO     | Retriever | Retrieved 5 relevant chunks (similarity >= 0.3)
2026-06-18 00:22:30 | INFO     | Retriever | Context prepared: 3057 chars from 3 chunks
2026-06-18 00:22:37 | INFO     | Retriever | Retrieving for: 'what are your views on my RAG project README...'
2026-06-18 00:22:39 | INFO     | VectorStore | Found 5 relevant chunks
2026-06-18 00:22:39 | INFO     | Retriever | Retrieved 5 relevant chunks (similarity >= 0.3)
2026-06-18 00:22:39 | INFO     | Evaluator | Evaluating response for: 'what are your views on my RAG project RE...'
2026-06-18 00:22:39 | INFO     | Evaluator | Evaluation complete: overall=0.74, grade=B+ 👍
2026-06-18 00:22:39 | INFO     | SessionManager | Message #1 added to chat history
2026-06-18 00:22:41 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:22:43 | INFO     | Embeddings | ✅ nomic-embed-text is available
